City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Jerusalem,IL,31.769,35.2163,42.71,91,83,4.0,broken clouds
204,Kurumkan,RU,54.3,110.3,-5.75,94,99,1.59,overcast clouds
205,Labis,MY,2.385,103.021,89.94,48,51,5.57,broken clouds
206,Hasaki,JP,35.7333,140.8333,48.6,24,25,4.72,scattered clouds
207,Kaitangata,NZ,-46.2817,169.8464,63.91,77,84,4.05,broken clouds
208,Mokrousovo,RU,55.8103,66.7653,5.11,93,85,5.77,overcast clouds
209,Chuy,UY,-33.6971,-53.4616,67.68,92,0,8.14,clear sky
210,Dimitrovgrad,RU,54.2139,49.6184,17.65,96,100,7.05,overcast clouds
211,Qarchi Gak,AF,37.04,66.7889,50.09,53,38,10.83,scattered clouds
212,Cidreira,BR,-30.1811,-50.2056,71.42,75,0,15.99,clear sky
213,Vardo,NO,70.3705,31.1107,21.4,74,55,15.43,broken clouds
214,Port Lincoln,AU,-34.7333,135.8667,76.06,62,11,9.46,few clouds
215,San Patricio,US,28.017,-97.5169,66.29,83,100,11.77,overcast clouds
216,Fare,PF,-16.7,-151.0167,81.18,71,11,10.63,few clouds
217,Ewa Beach,US,21.3156,-158.0072,75.15,66,75,4.61,broken clouds
218,Saldanha,ZA,-33.0117,17.9442,64.45,67,99,5.01,overcast clouds
219,Okhotsk,RU,59.3833,143.3,12.18,78,46,15.35,scattered clouds
220,Saint Anthony,US,45.0205,-93.218,15.73,83,0,3.0,clear sky
221,Toora-Khem,RU,52.4675,96.11,-3.37,89,86,1.5,overcast clouds
222,Ribeira Brava,PT,32.65,-17.0667,65.03,78,1,11.16,clear sky
223,Bosaso,SO,11.2842,49.1816,75.18,83,20,4.61,few clouds
224,Charters Towers,AU,-20.1,146.2667,91.06,43,26,20.29,scattered clouds
225,Malanje,AO,-9.5402,16.341,64.24,98,100,3.65,overcast clouds
226,Coquimbo,CL,-29.9533,-71.3436,62.33,88,0,3.44,clear sky
