City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Pueblo Bello,CO,2022-01-30 07:41:22,8.2041,-76.526,70.05,95,98,1.88
142,Caravelas,BR,2022-01-30 07:41:24,-17.7125,-39.2481,74.88,87,19,7.31
143,Sao Joao Da Barra,BR,2022-01-30 07:38:12,-21.6403,-41.0511,74.89,90,85,4.65
144,Luba,GQ,2022-01-30 07:41:26,3.4568,8.5547,73.29,65,100,1.39
145,Bredasdorp,ZA,2022-01-30 07:34:14,-34.5322,20.0403,76.28,64,53,14.97
146,Dubai,AE,2022-01-30 07:41:29,25.2582,55.3047,73.65,60,0,5.75
147,Bagdarin,RU,2022-01-30 07:41:29,54.4333,113.6,1.63,89,4,1.05
148,Paray-Le-Monial,FR,2022-01-30 07:41:31,46.4546,4.1158,41.52,98,100,1.14
149,Ixtapa,MX,2022-01-30 07:41:31,20.7,-105.2,68.23,89,0,3.51
150,Coahuayana,MX,2022-01-30 07:41:31,18.7333,-103.6833,67.62,82,0,4.45
151,Thompson,CA,2022-01-30 07:31:06,55.7435,-97.8558,-5.64,84,100,4.61
152,Vao,NC,2022-01-30 07:34:31,-22.6667,167.4833,80.04,86,33,16.31
153,Tucurui,BR,2022-01-30 07:41:34,-3.7661,-49.6725,69.94,98,100,2.62
154,Pevek,RU,2022-01-30 07:35:56,69.7008,170.3133,-12.23,96,100,2.62
155,Belmonte,BR,2022-01-30 07:41:35,-15.8631,-38.8828,75.7,89,100,6.29
156,Parichhatgarh,IN,2022-01-30 07:41:36,28.9833,77.9333,69.98,32,0,14.74
157,Bolshaya Glushitsa,RU,2022-01-30 07:41:36,50.2406,43.5908,33.73,95,92,12.44
158,Komsomolskiy,UZ,2022-01-30 07:38:45,40.4272,71.7189,42.22,70,67,4.61
159,Obo,CF,2022-01-30 07:41:39,5.3998,26.4869,82.45,12,100,8.7
160,Shimoda,JP,2022-01-30 07:41:39,34.6667,138.95,46.76,62,100,5.41
161,Phuket,TH,2022-01-30 07:41:40,8.0,98.25,89.82,58,20,11.5
162,Saint-Honore,CA,2022-01-30 07:41:40,48.5334,-71.0824,-1.95,78,100,14.97
163,East London,ZA,2022-01-30 07:33:59,-33.0153,27.9116,79.29,61,0,11.77
164,Yerbogachen,RU,2022-01-30 07:41:41,61.2767,108.0108,1.71,95,100,4.27
165,Parati,BR,2022-01-30 07:41:41,-23.2178,-44.7131,73.36,95,100,3.0
166,Bras-Panon,RE,2022-01-30 07:41:42,-20.9967,55.6782,87.42,84,31,13.58
167,Norman Wells,CA,2022-01-30 07:41:43,65.282,-126.8329,-25.56,68,40,3.44
168,Lompoc,US,2022-01-30 07:39:36,34.6391,-120.4579,55.22,87,0,6.91
169,Chauk,MM,2022-01-30 07:41:43,20.8833,94.8167,81.66,20,0,8.68
170,Muzhi,RU,2022-01-30 07:41:44,65.3667,64.6667,-3.57,96,99,2.93
171,Vannes,FR,2022-01-30 07:41:46,47.8333,-2.5,46.31,96,66,5.79
172,Talnakh,RU,2022-01-30 07:41:47,69.4865,88.3972,1.2,97,100,7.81
173,Shingu,JP,2022-01-30 07:35:37,33.7333,135.9833,47.39,59,100,0.72
174,Palmer,US,2022-01-30 07:41:48,42.1584,-72.3287,9.84,56,0,1.99
175,Tabuk,PH,2022-01-30 07:41:48,17.4189,121.4443,71.58,93,96,11.1
176,Nanortalik,GL,2022-01-30 07:35:09,60.1432,-45.2371,10.9,84,100,8.28
177,Ziarat,PK,2022-01-30 07:41:49,30.3823,67.7282,46.78,32,0,6.15
178,Bantou,CN,2022-01-30 07:41:52,26.2151,117.4893,49.05,65,90,5.84
179,Hays,US,2022-01-30 07:39:36,30.0502,-98.0336,48.6,57,8,1.99
180,Kaitangata,NZ,2022-01-30 07:30:14,-46.2817,169.8464,57.6,94,100,1.39
181,Lavrentiya,RU,2022-01-30 07:41:53,65.5833,-171.0,-3.6,88,8,3.96
182,Itanhem,BR,2022-01-30 07:41:56,-17.1664,-40.33,71.78,87,91,3.87
183,Nelson Bay,AU,2022-01-30 07:41:57,-32.7167,152.15,80.65,70,62,1.99
